ID,time,MRGSIM,NONMEM,diff
9,14,1738,1738,0
9,15,1645,1645,0
9,16,1557,1557,0
9,17,1473.6,1473.6,0
9,18,1394.8,1394.8,0
9,19,1320.1,1320.1,0
9,20,1249.5,1249.5,0
9,21,1182.6,1182.6,0
9,22,1119.3,1119.3,0
9,23,1059.4,1059.4,0
9,24,1002.7,1002.7,0
9,25,949.08,949.08,0
9,26,898.29,898.29,0
9,27,850.22,850.22,0
9,28,1215.2,1215.2,0
9,29,1636.6,1636.6,0
9,30,2035.5,2035.5,0
9,31,2413.1,2413.1,0
9,32,2417.5,2417.5,0
9,33,2288.1,2288.1,0
9,34,2165.7,2165.7,0
9,35,2049.8,2049.8,0
9,36,1940.1,1940.1,0
9,37,1836.3,1836.3,0
9,38,1738,1738,0
9,39,1645,1645,0
9,40,1557,1557,0
9,41,1473.6,1473.6,0
9,42,1394.8,1394.8,0
9,43,1320.1,1320.1,0
9,44,1249.5,1249.5,0
9,45,1182.6,1182.6,0
9,46,1119.3,1119.3,0
9,47,1059.4,1059.4,0
9,48,1002.7,1002.7,0
9,49,949.08,949.08,0
9,50,898.29,898.29,0
9,51,850.22,850.22,0
9,52,1215.2,1215.2,0
9,53,1636.6,1636.6,0
9,54,2035.5,2035.5,0
9,55,2413.1,2413.1,0
9,56,2417.5,2417.5,0
9,57,2288.1,2288.1,0
9,58,2165.7,2165.7,0
9,59,2049.8,2049.8,0
9,60,1940.1,1940.1,0
9,61,1836.3,1836.3,0
9,62,1738,1738,0
9,63,1645,1645,0
9,64,1557,1557,0
9,65,1473.6,1473.6,0
9,66,1394.8,1394.8,0
9,67,1320.1,1320.1,0
9,68,1249.5,1249.5,0
9,69,1182.6,1182.6,0
9,70,1119.3,1119.3,0
9,71,1059.4,1059.4,0
9,72,1002.7,1002.7,0
9,73,949.08,949.08,0
9,74,898.29,898.29,0
9,75,850.22,850.22,0
9,76,1215.2,1215.2,0
9,77,1636.6,1636.6,0
9,78,2035.5,2035.5,0
9,79,2413.1,2413.1,0
9,80,2417.5,2417.5,0
9,81,2288.1,2288.1,0
9,82,2165.7,2165.7,0
9,83,2049.8,2049.8,0
9,84,1940.1,1940.1,0
9,85,1836.3,1836.3,0
9,86,1738,1738,0
9,87,1645,1645,0
9,88,1557,1557,0
9,89,1473.6,1473.6,0
9,90,1394.8,1394.8,0
9,91,1320.1,1320.1,0
9,92,1249.5,1249.5,0
9,93,1182.6,1182.6,0
9,94,1119.3,1119.3,0
9,95,1059.4,1059.4,0
9,96,1002.7,1002.7,0
9,97,949.08,949.08,0
9,98,898.29,898.29,0
9,99,850.22,850.22,0
9,100,804.72,804.72,0
9,101,761.66,761.66,0
9,102,720.9,720.9,0
9,103,682.32,682.32,0
9,104,645.8,645.8,0
9,105,611.24,611.24,0
9,106,578.53,578.53,0
9,107,547.57,547.57,0
9,108,518.27,518.27,0
9,109,490.53,490.53,0
9,110,464.28,464.28,0
9,111,439.44,439.44,0
9,112,415.92,415.92,0
9,113,393.66,393.66,0
9,114,372.6,372.6,0
9,115,352.66,352.66,0
9,116,333.78,333.78,0
9,117,315.92,315.92,0
9,118,299.02,299.02,0
9,119,283.01,283.01,0
9,120,267.87,267.87,0
9,121,253.53,253.53,0
9,122,239.97,239.97,0
9,123,227.12,227.12,0
9,124,214.97,214.97,0
9,125,203.47,203.47,0
9,126,192.58,192.58,0
9,127,182.27,182.27,0
9,128,172.52,172.52,0
9,129,163.28,163.28,0
9,130,154.55,154.55,0
10,0,6014.5,6014.5,0
10,0,6014.5,6014.5,0
10,1,6081.8,6081.8,0
10,2,6145.5,6145.5,0
10,3,6205.9,6205.9,0
10,4,6263,6263,0
10,5,6277.4,6277.4,0
10,6,6233.4,6233.4,0
10,7,6191.7,6191.7,0
10,8,6152.3,6152.3,0
10,9,6114.9,6114.9,0
10,10,6079.6,6079.6,0
10,11,6046.1,6046.1,0
10,12,6014.5,6014.5,0
10,13,6081.8,6081.8,0
10,14,6145.5,6145.5,0
10,15,6205.9,6205.9,0
10,16,6263,6263,0
10,17,6277.4,6277.4,0
10,18,6233.4,6233.4,0
10,19,6191.7,6191.7,0
10,20,6152.3,6152.3,0
10,21,6114.9,6114.9,0
10,22,6079.6,6079.6,0
10,23,6046.1,6046.1,0
10,24,6014.5,6014.5,0
10,25,6081.8,6081.8,0
10,26,6145.5,6145.5,0
10,27,6205.9,6205.9,0
10,28,6263,6263,0
10,29,6277.4,6277.4,0
